Replace Part D1 ACD8143 in E:\undergrad\eee4022S-2017\NPSC\hardware\design\date\Date.SchDoc with ACD8143 from Integrated_Library_component.IntLib
Replace Part D2 ACD8143 in E:\undergrad\eee4022S-2017\NPSC\hardware\design\date\Date.SchDoc with ACD8143 from Integrated_Library_component.IntLib
Replace Part D3 ACD8143 in E:\undergrad\eee4022S-2017\NPSC\hardware\design\date\Date.SchDoc with ACD8143 from Integrated_Library_component.IntLib
Replace Part R1 RES in E:\undergrad\eee4022S-2017\NPSC\hardware\design\date\Date.SchDoc with RES from Altium Content Vault
Replace Part U MAX7219 in E:\undergrad\eee4022S-2017\NPSC\hardware\design\date\Date.SchDoc with MAX7219 from Integrated_Library_component.IntLib
Replace Part U1 TI-NAND-4-2IN-14_A in E:\undergrad\eee4022S-2017\NPSC\hardware\design\date\Date.SchDoc with TI-NAND-4-2IN-14_A from Altium Content Vault
Replace Part U1 TI-NAND-4-2IN-14_A in E:\undergrad\eee4022S-2017\NPSC\hardware\design\date\Date.SchDoc with TI-NAND-4-2IN-14_A from Altium Content Vault
Replace Part U1 TI-NAND-4-2IN-14_A in E:\undergrad\eee4022S-2017\NPSC\hardware\design\date\Date.SchDoc with TI-NAND-4-2IN-14_A from Altium Content Vault
Replace Part U1 TI-NAND-4-2IN-14_A in E:\undergrad\eee4022S-2017\NPSC\hardware\design\date\Date.SchDoc with TI-NAND-4-2IN-14_A from Altium Content Vault
Replace Part U1 TI-NAND-4-2IN-14_A in E:\undergrad\eee4022S-2017\NPSC\hardware\design\date\Date.SchDoc with TI-NAND-4-2IN-14_A from Altium Content Vault
Replace Part U2 TI-NAND-4-2IN-14_A in E:\undergrad\eee4022S-2017\NPSC\hardware\design\date\Date.SchDoc with TI-NAND-4-2IN-14_A from Altium Content Vault
Replace Part U2 TI-NAND-4-2IN-14_A in E:\undergrad\eee4022S-2017\NPSC\hardware\design\date\Date.SchDoc with TI-NAND-4-2IN-14_A from Altium Content Vault
Replace Part U2 TI-NAND-4-2IN-14_A in E:\undergrad\eee4022S-2017\NPSC\hardware\design\date\Date.SchDoc with TI-NAND-4-2IN-14_A from Altium Content Vault
Replace Part U2 TI-NAND-4-2IN-14_A in E:\undergrad\eee4022S-2017\NPSC\hardware\design\date\Date.SchDoc with TI-NAND-4-2IN-14_A from Altium Content Vault
Replace Part U2 TI-NAND-4-2IN-14_A in E:\undergrad\eee4022S-2017\NPSC\hardware\design\date\Date.SchDoc with TI-NAND-4-2IN-14_A from Altium Content Vault
Replace Part U3 TI-NAND-4-2IN-14_A in E:\undergrad\eee4022S-2017\NPSC\hardware\design\date\Date.SchDoc with TI-NAND-4-2IN-14_A from Altium Content Vault
Replace Part U3 TI-NAND-4-2IN-14_A in E:\undergrad\eee4022S-2017\NPSC\hardware\design\date\Date.SchDoc with TI-NAND-4-2IN-14_A from Altium Content Vault
Replace Part U3 TI-NAND-4-2IN-14_A in E:\undergrad\eee4022S-2017\NPSC\hardware\design\date\Date.SchDoc with TI-NAND-4-2IN-14_A from Altium Content Vault
Replace Part U3 TI-NAND-4-2IN-14_A in E:\undergrad\eee4022S-2017\NPSC\hardware\design\date\Date.SchDoc with TI-NAND-4-2IN-14_A from Altium Content Vault
Replace Part U3 TI-NAND-4-2IN-14_A in E:\undergrad\eee4022S-2017\NPSC\hardware\design\date\Date.SchDoc with TI-NAND-4-2IN-14_A from Altium Content Vault
Replace Part U4 TI-NAND-4-2IN-14_A in E:\undergrad\eee4022S-2017\NPSC\hardware\design\date\Date.SchDoc with TI-NAND-4-2IN-14_A from Altium Content Vault
Replace Part U4 TI-NAND-4-2IN-14_A in E:\undergrad\eee4022S-2017\NPSC\hardware\design\date\Date.SchDoc with TI-NAND-4-2IN-14_A from Altium Content Vault
Replace Part U4 TI-NAND-4-2IN-14_A in E:\undergrad\eee4022S-2017\NPSC\hardware\design\date\Date.SchDoc with TI-NAND-4-2IN-14_A from Altium Content Vault
Replace Part U4 TI-NAND-4-2IN-14_A in E:\undergrad\eee4022S-2017\NPSC\hardware\design\date\Date.SchDoc with TI-NAND-4-2IN-14_A from Altium Content Vault
Replace Part U4 TI-NAND-4-2IN-14_A in E:\undergrad\eee4022S-2017\NPSC\hardware\design\date\Date.SchDoc with TI-NAND-4-2IN-14_A from Altium Content Vault
Replace Part U5 TI-NAND-4-2IN-14_A in E:\undergrad\eee4022S-2017\NPSC\hardware\design\date\Date.SchDoc with TI-NAND-4-2IN-14_A from Altium Content Vault
Replace Part U5 TI-NAND-4-2IN-14_A in E:\undergrad\eee4022S-2017\NPSC\hardware\design\date\Date.SchDoc with TI-NAND-4-2IN-14_A from Altium Content Vault
Replace Part U5 TI-NAND-4-2IN-14_A in E:\undergrad\eee4022S-2017\NPSC\hardware\design\date\Date.SchDoc with TI-NAND-4-2IN-14_A from Altium Content Vault
Replace Part U5 TI-NAND-4-2IN-14_A in E:\undergrad\eee4022S-2017\NPSC\hardware\design\date\Date.SchDoc with TI-NAND-4-2IN-14_A from Altium Content Vault
Replace Part U5 TI-NAND-4-2IN-14_A in E:\undergrad\eee4022S-2017\NPSC\hardware\design\date\Date.SchDoc with TI-NAND-4-2IN-14_A from Altium Content Vault
