Altium Designer Pick and Place Locations
E:\undergrad\eee4022S-2017\NPSC\hardware\design\rings\Project Outputs for Rings\Pick Place for ring.csv

========================================================================================================================
File Design Information:

Date:       30/08/17
Time:       17:26
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U11","WS2812B","TopLayer","ADAI-WS2812B_V","66,6840","38,5000","29.4349803924561","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Bulk"
"U124","WS2812B","TopLayer","ADAI-WS2812B_V","29,9746","92,2525","72.5","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Bulk"
"U167","WS2812B","TopLayer","ADAI-WS2812B_V","-96,4686","10,1393","172.5","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Bulk"
"U177","WS2812B","TopLayer","ADAI-WS2812B_V","-39,4535","88,6139","115.5","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Bulk"
"U157","WS2812B","TopLayer","ADAI-WS2812B_V","-57,0152","-78,4746","234.5","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Bulk"
"U137","WS2812B","TopLayer","ADAI-WS2812B_V","96,4686","-10,1393","353.500001430511","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Bulk"
"U117","WS2812B","TopLayer","ADAI-WS2812B_V","-35,3861","79,4784","114.5","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Bulk"
"U97","WS2812B","TopLayer","ADAI-WS2812B_V","-51,1373","-70,3845","233.5","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Bulk"
"U77","WS2812B","TopLayer","ADAI-WS2812B_V","86,5234","-9,0940","353.000000476837","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Bulk"
"U57","WS2812B","TopLayer","ADAI-WS2812B_V","-31,3187","70,3430","114.5","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Bulk"
