Altium Designer Pick and Place Locations
E:\undergrad\eee4022S-2017\NPSC\hardware\design\weekdays\Project Outputs for Weekday\Pick Place for Weekdays.csv

========================================================================================================================
File Design Information:

Date:       30/08/17
Time:       17:28
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"P1","pico-clasp-3pins","BottomLayer","3_pins_pico-clasp","5,9500","6,4000","90","3 pins pico clasp"
"U7","WS2812B","TopLayer","ADAI-WS2812B_V","99,8000","8,6000","180","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Bulk"
"U6","WS2812B","TopLayer","ADAI-WS2812B_V","84,8000","8,6000","180","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Bulk"
"U5","WS2812B","TopLayer","ADAI-WS2812B_V","69,8000","8,6000","180","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Bulk"
"U4","WS2812B","TopLayer","ADAI-WS2812B_V","54,8000","8,6000","180","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Bulk"
"U3","WS2812B","TopLayer","ADAI-WS2812B_V","39,8000","8,6000","180","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Bulk"
"U2","WS2812B","TopLayer","ADAI-WS2812B_V","24,8000","8,6000","180","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Bulk"
"U1","WS2812B","TopLayer","ADAI-WS2812B_V","9,8000","8,6000","180","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Bulk"
"C7","CAP 0.5pF 10V 0805(2012)","BottomLayer","CAPC0805(2012)100_L","99,8000","8,6000","270","CAP 0.5pF 10V ±0.5pF 0805 (2012 Metric) Thickness 1mm SMD"
"C6","CAP 0.5pF 10V 0805(2012)","BottomLayer","CAPC0805(2012)100_L","84,8000","8,6000","270","CAP 0.5pF 10V ±0.5pF 0805 (2012 Metric) Thickness 1mm SMD"
"C5","CAP 0.5pF 10V 0805(2012)","BottomLayer","CAPC0805(2012)100_L","69,8000","8,6000","270","CAP 0.5pF 10V ±0.5pF 0805 (2012 Metric) Thickness 1mm SMD"
"C4","CAP 0.5pF 10V 0805(2012)","BottomLayer","CAPC0805(2012)100_L","54,8000","8,6000","270","CAP 0.5pF 10V ±0.5pF 0805 (2012 Metric) Thickness 1mm SMD"
"C3","CAP 0.5pF 10V 0805(2012)","BottomLayer","CAPC0805(2012)100_L","39,8000","8,6000","270","CAP 0.5pF 10V ±0.5pF 0805 (2012 Metric) Thickness 1mm SMD"
"C2","CAP 0.5pF 10V 0805(2012)","BottomLayer","CAPC0805(2012)100_L","24,8000","8,6000","270","CAP 0.5pF 10V ±0.5pF 0805 (2012 Metric) Thickness 1mm SMD"
"C1","CAP 0.5pF 10V 0805(2012)","BottomLayer","CAPC0805(2012)100_L","9,8000","8,6000","270","CAP 0.5pF 10V ±0.5pF 0805 (2012 Metric) Thickness 1mm SMD"
