Time[s], Data[Decimal]
0,0
0.3974679167,1
0.3974683333,0
0.3974691667,1
0.3974695833,0
0.3974704167,1
0.3974708333,0
0.3974716667,1
0.3974720833,0
0.3974729167,1
0.3974733333,0
0.3974741667,1
0.3974745833,0
0.3974754167,1
0.3974758333,0
0.3974766667,1
0.3974770833,0
0.3974779167,1
0.39747875,0
0.3974791667,1
0.39748,0
0.3974804167,1
0.39748125,0
0.3974816667,1
0.3974825,0
0.3974829167,1
0.39748375,0
0.3974841667,1
0.397485,0
0.3974854167,1
0.39748625,0
0.3974866667,1
0.3974875,0
0.3974879167,1
0.3974883333,0
0.3974891667,1
0.3974895833,0
0.3974904167,1
0.3974908333,0
0.3974916667,1
0.3974920833,0
0.3974929167,1
0.3974933333,0
0.3974941667,1
0.3974945833,0
0.3974954167,1
0.3974958333,0
0.3974966667,1
0.3974970833,0
0.3974979167,1
0.3974983333,0
0.3974991667,1
0.3974995833,0
0.3975004167,1
0.3975008333,0
0.3975016667,1
0.3975020833,0
0.3975029167,1
0.3975033333,0
0.3975041667,1
0.3975045833,0
0.3975054167,1
0.3975058333,0
0.3975066667,1
0.3975070833,0
0.3975079167,1
0.39750875,0
0.3975091667,1
0.39751,0
0.3975104167,1
0.39751125,0
0.3975116667,1
0.3975125,0
0.3975129167,1
0.39751375,0
0.3975141667,1
0.397515,0
0.3975154167,1
0.39751625,0
0.3975166667,1
0.3975175,0
0.3975179167,1
0.3975183333,0
0.3975191667,1
0.3975195833,0
0.3975204167,1
0.3975208333,0
0.3975216667,1
0.3975220833,0
0.3975229167,1
0.3975233333,0
0.3975241667,1
0.3975245833,0
0.3975254167,1
0.3975258333,0
0.3975266667,1
0.3975270833,0
0.3975279167,1
0.3975283333,0
0.3975291667,1
0.3975295833,0
0.3975304167,1
0.3975308333,0
0.3975316667,1
0.3975320833,0
0.3975329167,1
0.3975333333,0
0.3975341667,1
0.3975345833,0
0.3975354167,1
0.3975358333,0
0.3975366667,1
0.3975370833,0
0.3975379167,1
0.3975383333,0
0.3975391667,1
0.3975395833,0
0.3975404167,1
0.3975408333,0
0.3975416667,1
0.3975420833,0
0.3975429167,1
0.3975433333,0
0.3975441667,1
0.3975445833,0
0.3975454167,1
0.3975458333,0
0.3975466667,1
0.3975470833,0
0.3975479167,1
0.3975483333,0
0.3975491667,1
0.3975495833,0
0.3975504167,1
0.3975508333,0
0.3975516667,1
0.3975520833,0
0.3975529167,1
0.3975533333,0
0.3975541667,1
0.3975545833,0
0.3975554167,1
0.3975558333,0
0.3975566667,1
0.3975570833,0
0.3975579167,1
0.3975583333,0
0.3975591667,1
0.3975595833,0
0.3975604167,1
0.3975608333,0
0.3975616667,1
0.3975620833,0
0.3975629167,1
0.3975633333,0
0.3975641667,1
0.3975645833,0
0.3975654167,1
0.3975658333,0
0.3975666667,1
0.3975670833,0
0.3975679167,1
0.3975683333,0
0.3975691667,1
0.3975695833,0
0.3975704167,1
0.3975708333,0
0.3975716667,1
0.3975720833,0
0.3975729167,1
0.3975733333,0
0.3975741667,1
0.3975745833,0
0.3975754167,1
0.3975758333,0
0.3975766667,1
0.3975770833,0
0.3975779167,1
0.3975783333,0
0.3975791667,1
0.3975795833,0
0.3975804167,1
0.3975808333,0
0.3975816667,1
0.3975820833,0
0.3975829167,1
0.3975833333,0
0.3975841667,1
0.3975845833,0
0.3975854167,1
0.3975858333,0
0.3975866667,1
0.3975870833,0
0.3975879167,1
0.3975883333,0
0.3975891667,1
0.3975895833,0
0.3975904167,1
0.3975908333,0
0.3975916667,1
0.3975920833,0
0.3975929167,1
0.3975933333,0
0.3975941667,1
0.3975945833,0
0.3975954167,1
0.3975958333,0
0.3975966667,1
0.3975970833,0
0.3975979167,1
0.3975983333,0
0.3975991667,1
0.3975995833,0
0.3976004167,1
0.3976008333,0
0.3976016667,1
0.3976020833,0
0.3976029167,1
0.3976033333,0
0.3976041667,1
0.3976045833,0
0.3976054167,1
0.3976058333,0
0.3976066667,1
0.3976070833,0
0.3976079167,1
0.3976083333,0
0.3976091667,1
0.3976095833,0
0.3976104167,1
0.3976108333,0
0.3976116667,1
0.3976120833,0
0.3976129167,1
0.3976133333,0
0.3976141667,1
0.3976145833,0
0.3976154167,1
0.3976158333,0
0.3976166667,1
0.3976170833,0
0.3976179167,1
0.3976183333,0
0.3976191667,1
0.3976195833,0
0.3976204167,1
0.3976208333,0
0.3976216667,1
0.3976220833,0
0.3976229167,1
0.3976233333,0
0.3976241667,1
0.3976245833,0
0.3976254167,1
0.3976258333,0
0.3976266667,1
0.3976270833,0
0.3976279167,1
0.3976283333,0
0.3976291667,1
0.3976295833,0
0.3976304167,1
0.3976308333,0
0.3976316667,1
0.3976320833,0
0.3976329167,1
0.3976333333,0
0.3976341667,1
0.3976345833,0
0.3976354167,1
0.3976358333,0
0.3976366667,1
0.3976370833,0
0.3976379167,1
0.3976383333,0
0.3976391667,1
0.3976395833,0
0.3976404167,1
0.3976408333,0
0.3976416667,1
0.3976420833,0
0.3976429167,1
0.3976433333,0
0.3976441667,1
0.3976445833,0
0.3976454167,1
0.3976458333,0
0.3976466667,1
0.3976470833,0
0.3976479167,1
0.3976483333,0
0.3976491667,1
0.3976495833,0
0.3976504167,1
0.3976508333,0
0.3976516667,1
0.3976520833,0
0.3976529167,1
0.3976533333,0
0.3976541667,1
0.3976545833,0
0.3976554167,1
0.3976558333,0
0.3976566667,1
0.3976570833,0
0.3976579167,1
0.3976583333,0
0.3976591667,1
0.3976595833,0
0.3976604167,1
0.3976608333,0
0.3976616667,1
0.3976620833,0
0.3976629167,1
0.3976633333,0
0.3976641667,1
0.3976645833,0
0.3976654167,1
0.3976658333,0
0.3976666667,1
0.3976670833,0
0.3976679167,1
0.3976683333,0
0.3976691667,1
0.3976695833,0
0.3976704167,1
0.3976708333,0
0.3976716667,1
0.3976720833,0
0.3976729167,1
0.3976733333,0
0.3976741667,1
0.3976745833,0
0.3976754167,1
0.3976758333,0
0.3976766667,1
0.3976770833,0
0.3976779167,1
0.3976783333,0
0.3976791667,1
0.3976795833,0
0.3976804167,1
0.3976808333,0
0.3976816667,1
0.3976820833,0
0.3976829167,1
0.3976833333,0
0.3976841667,1
0.3976845833,0
0.3976854167,1
0.3976858333,0
0.3976866667,1
0.3976870833,0
0.3976879167,1
0.3976883333,0
0.3976891667,1
0.3976895833,0
0.3976904167,1
0.3976908333,0
0.3976916667,1
0.3976920833,0
0.3976929167,1
0.3976933333,0
0.3976941667,1
0.3976945833,0
0.3976954167,1
0.3976958333,0
0.3976966667,1
0.3976970833,0
0.3976979167,1
0.3976983333,0
0.3976991667,1
0.3976995833,0
0.3977004167,1
0.3977008333,0
0.3977016667,1
0.3977020833,0
0.3977029167,1
0.3977033333,0
0.3977041667,1
0.3977045833,0
0.3977054167,1
0.3977058333,0
0.3977066667,1
0.3977070833,0
0.3977079167,1
0.3977083333,0
0.3977091667,1
0.3977095833,0
0.3977104167,1
0.3977108333,0
0.3977116667,1
0.3977120833,0
0.3977129167,1
0.3977133333,0
0.3977141667,1
0.3977145833,0
0.3977154167,1
0.3977158333,0
0.3977166667,1
0.3977170833,0
0.3977179167,1
0.3977183333,0
0.3977191667,1
0.3977195833,0
0.3977204167,1
0.3977208333,0
0.3977216667,1
0.3977220833,0
0.3977229167,1
0.3977233333,0
0.3977241667,1
0.3977245833,0
0.3977254167,1
0.3977258333,0
0.3977266667,1
0.3977270833,0
0.3977279167,1
